Index,V1,V2,Noise
0,384,374,365
1,373,370,363
2,357,367,362
3,341,363,361
4,336,359,357
5,357,358,357
6,383,392,378
7,376,373,357
8,424,386,372
9,373,390,379
10,352,377,374
11,395,364,373
12,375,410,391
13,415,377,382
14,334,388,380
15,435,386,375
16,344,373,370
17,401,364,371
18,385,364,375
19,371,392,381
20,386,375,365
21,383,385,362
22,362,329,357
23,363,397,379
24,322,387,377
25,424,340,367
26,391,361,355
27,343,393,370
28,417,363,365
29,322,368,370
30,532,373,372
31,503,407,388
32,340,368,371
33,277,366,370
34,377,342,355
35,427,357,367
36,361,381,386
37,348,391,383
38,305,370,370
39,308,367,346
40,308,368,375
41,361,398,364
42,396,361,371
43,302,378,345
44,383,362,351
45,330,402,373
46,349,357,363
47,437,376,363
48,291,312,339
49,424,363,351
50,382,380,348
51,384,377,362
52,395,334,349
53,312,369,349
54,386,382,349
55,384,378,360
56,373,369,356
57,346,366,357
58,335,379,374
59,381,347,343
60,352,400,376
61,371,344,353
62,372,386,373
63,362,354,351
64,343,349,363
65,349,382,368
66,439,350,349
67,372,380,366
68,371,352,359
69,401,365,349
70,348,355,356
71,419,368,355
72,293,335,330
73,418,365,347
74,331,343,346
75,403,247,316
76,339,424,358
77,409,371,359
78,385,351,364
79,394,365,332
80,351,365,362
81,349,352,356
82,328,337,347
83,371,369,348
84,394,325,354
85,337,373,353
86,369,356,349
87,318,360,353
88,396,339,341
89,384,352,332
90,370,349,353
91,348,370,351
92,331,357,354
93,404,345,331
94,349,333,343
95,422,381,343
96,287,345,359
97,385,350,343
98,336,324,338
99,399,349,332
100,372,350,338
101,328,345,325
102,366,380,355
103,392,359,352
104,355,343,353
105,395,322,331
106,321,363,360
107,388,340,357
108,366,371,362
109,406,341,357
110,309,374,359
111,433,339,361
112,327,367,338
113,379,347,354
114,351,365,343
115,331,367,352
116,366,369,339
117,408,341,359
118,348,379,359
119,334,358,362
120,318,361,345
121,357,371,350
122,315,379,349
123,360,329,339
124,332,345,333
125,344,297,293
126,341,442,387
127,306,317,346
128,374,382,366
129,403,373,364
130,364,296,319
131,299,380,359
132,373,272,332
133,306,409,362
134,342,334,361
135,305,371,356
136,355,338,345
137,328,344,325
138,318,369,339
139,359,352,330
140,352,361,364
141,391,377,361
142,281,372,368
143,355,341,323
144,342,384,374
145,319,394,375
146,385,331,362
147,340,389,373
148,315,330,364
149,367,386,361
150,285,371,369
151,384,385,371
152,350,352,359
153,359,405,375
154,364,364,365
155,338,367,372
156,306,406,383
157,335,388,388
158,409,373,363
159,364,385,377
160,350,345,371
161,277,365,361
162,378,394,384
163,287,387,385
164,395,382,378
165,341,347,368
166,357,369,356
167,353,369,378
168,373,386,372
169,335,343,368
170,383,379,355
171,341,370,366
172,432,366,359
173,298,373,361
174,449,363,354
175,289,364,365
176,372,392,379
177,357,376,381
178,338,360,367
179,325,345,366
180,432,381,366
181,309,384,369
182,360,343,357
183,371,340,357
184,386,377,364
185,399,365,363
186,283,359,357
187,136,360,355
188,256,359,353
189,172,359,347
190,0,356,353
191,440,0,180
192,352,323,271
193,358,323,297
194,358,321,304
195,355,325,307
196,357,324,315
197,357,326,318
198,356,326,319
199,358,326,321
200,357,328,322
201,357,330,324
202,358,331,325
203,358,331,326
204,358,331,326
205,358,332,327
206,356,333,327
207,243,486,390
208,300,411,369
209,194,347,341
210,229,298,303
211,234,335,320
212,247,313,314
213,230,330,302
214,270,245,272
215,280,258,241
216,236,186,205
217,264,219,198
218,231,228,213
219,292,200,217
220,268,202,214
221,248,206,203
222,268,168,178
223,201,271,232
224,131,270,248
225,148,285,281
226,188,329,295
227,146,310,301
228,107,367,333
229,71,334,342
230,159,392,356
231,154,349,342
232,161,296,351
233,196,414,375
234,158,380,374
235,203,449,403
236,101,474,440
237,122,466,447
238,98,479,461
239,127,487,456
240,145,521,491
241,175,563,512
242,100,566,530
243,200,563,532
244,148,558,532
245,150,578,554
246,134,569,561
247,180,581,571
