Index,V1,V2,Noise
0,375,352,362
1,376,352,352
2,380,352,350
3,383,354,350
4,388,353,349
5,388,354,351
6,376,355,350
7,385,352,347
8,381,353,348
9,380,356,350
10,370,360,353
11,368,360,353
12,370,366,356
13,374,361,356
14,377,362,356
15,357,362,356
16,365,360,355
17,361,360,353
18,357,359,353
19,339,362,352
20,357,357,352
21,347,361,353
22,351,354,350
23,352,354,349
24,343,351,347
25,352,355,348
26,346,353,347
27,355,349,345
28,344,348,344
29,341,347,342
30,333,348,342
31,339,344,339
32,329,345,339
33,323,345,338
34,326,342,337
35,320,345,337
36,329,343,337
37,327,344,337
38,332,341,337
39,329,347,339
40,335,353,344
41,320,352,345
42,331,353,347
43,331,359,352
44,331,359,353
