Index,V1,V2,Noise
0,291,290,331
1,300,289,304
2,322,288,293
3,345,280,284
4,352,267,272
5,339,259,263
6,312,259,263
7,299,271,254
8,322,264,272
9,304,310,280
10,301,296,286
11,291,298,279
12,239,247,266
13,294,294,279
14,232,303,286
15,263,281,282
16,243,267,267
17,215,254,251
18,239,320,304
19,243,322,297
20,159,266,286
21,228,247,244
22,160,177,224
23,120,239,214
24,119,217,213
25,145,248,248
26,174,254,245
27,199,205,230
28,200,247,236
29,214,199,229
30,205,294,268
31,238,280,287
32,244,332,305
33,225,326,309
34,287,405,362
35,290,364,349
36,295,379,366
37,303,384,377
38,330,399,373
39,346,386,374
40,335,354,355
41,335,293,320
42,300,307,323
43,318,326,322
44,350,351,348
45,354,384,362
46,401,381,362
47,401,298,344
48,409,428,375
49,399,416,395
50,407,391,399
51,391,421,407
52,419,395,396
53,401,411,397
54,416,429,418
55,414,435,418
56,418,432,424
57,393,450,421
58,364,419,431
59,344,444,432
60,342,409,403
61,366,406,398
62,391,360,377
63,336,354,347
64,339,380,363
65,310,353,349
66,305,373,365
67,324,389,377
68,373,391,384
69,369,409,393
70,381,416,399
71,461,424,408
72,484,445,419
73,461,447,433
74,427,490,459
75,499,438,435
76,532,439,440
77,518,442,437
78,435,426,423
79,540,425,402
80,425,420,420
81,461,491,452
82,412,469,458
83,446,497,468
84,507,451,471
85,487,535,498
86,428,510,496
87,434,532,502
88,465,495,507
89,476,473,500
90,430,470,470
91,375,482,462
92,236,447,448
93,338,404,418
94,182,437,415
95,422,402,401
96,249,394,398
97,269,414,395
98,217,431,418
99,300,426,409
100,245,440,425
101,263,430,413
102,254,377,380
103,227,396,376
104,296,359,358
105,259,362,359
106,236,356,351
107,241,348,351
108,342,346,340
109,262,359,355
110,310,360,345
111,279,353,357
112,296,340,348
113,321,333,348
114,374,337,330
115,330,285,317
116,403,303,310
117,354,316,303
118,437,296,294
119,363,320,298
120,366,289,286
121,385,287,286
122,339,296,280
123,415,284,289
124,337,299,285
125,413,305,282
126,342,290,280
127,377,289,281
128,300,282,272
129,355,287,275
130,400,299,285
131,309,334,301
132,394,311,304
133,358,316,305
134,318,309,294
135,415,305,300
136,339,322,297
137,379,289,302
138,332,327,307
139,383,321,309
140,359,320,315
141,341,303,307
142,434,316,306
143,344,309,311
144,428,301,303
145,391,323,313
146,376,330,313
147,296,310,308
148,416,322,312
149,327,332,318
150,338,335,325
151,286,340,347
152,361,335,334
153,334,354,351
154,340,349,349
155,393,378,356
156,371,359,359
157,307,364,363
158,350,371,372
159,344,383,365
160,327,389,375
161,343,390,381
162,314,372,369
163,347,379,368
164,392,361,370
165,390,398,377
166,369,369,371
167,404,384,373
168,327,370,364
169,359,369,363
170,366,351,358
171,455,368,359
172,376,331,345
173,340,368,353
174,343,353,359
175,352,357,352
176,391,340,344
177,367,325,339
178,367,327,339
179,394,363,350
180,349,352,347
181,373,356,350
182,330,350,346
183,390,344,338
184,364,368,364
185,407,377,367
186,363,371,377
187,337,376,367
188,390,369,366
189,366,365,368
190,340,387,367
191,385,371,365
192,356,384,375
193,352,364,364
194,346,374,363
195,454,388,370
196,355,353,355
197,350,383,361
198,318,361,373
199,337,385,377
200,393,342,358
201,370,383,360
202,356,373,365
203,351,385,370
204,336,343,356
205,390,413,381
206,286,373,363
207,355,343,374
208,385,361,360
209,409,371,367
210,365,386,371
211,370,333,351
212,352,382,368
213,379,375,367
214,355,375,367
215,318,354,347
216,362,353,320
217,346,381,354
218,405,358,345
219,357,368,356
220,400,343,335
221,324,345,345
222,355,334,340
223,392,365,347
224,388,343,332
225,340,340,335
226,357,340,329
227,353,307,319
228,380,357,339
229,371,345,328
230,352,323,337
231,410,323,327
232,362,338,328
233,366,355,327
234,398,355,335
235,379,314,329
236,375,352,329
237,390,352,328
238,358,347,331
239,383,339,335
240,361,325,326
241,407,325,318
242,377,361,341
243,328,335,329
244,368,333,322
245,328,334,333
246,389,324,321
247,354,331,317
248,386,353,331
249,359,325,328
250,370,333,315
251,281,359,347
252,351,333,327
253,359,353,339
254,398,322,308
255,330,367,330
256,304,351,349
257,338,312,336
258,421,362,333
259,348,181,289
260,378,421,347
261,357,357,340
262,307,355,343
263,376,336,342
264,324,303,320
265,393,330,348
266,338,373,368
267,386,324,353
268,364,335,351
269,324,337,347
270,439,348,328
271,396,343,349
272,419,357,351
273,289,363,359
274,385,362,347
275,344,370,358
276,344,343,341
277,437,369,345
278,338,335,352
279,365,396,357
280,324,347,352
281,378,395,360
282,380,335,347
283,327,368,352
284,399,384,341
285,333,386,374
286,375,390,371
287,333,338,343
288,343,385,373
289,375,361,363
290,380,346,356
291,298,394,368
292,401,363,359
293,326,343,357
294,367,368,357
295,390,352,349
296,356,381,364
297,372,339,348
298,376,360,352
299,327,361,360
300,346,394,368
301,331,363,364
302,375,361,360
303,385,379,364
304,365,365,366
305,358,374,364
306,350,349,354
307,358,383,355
308,329,377,364
309,407,357,350
310,385,352,358
311,403,356,349
312,291,368,352
313,376,355,355
314,336,377,365
315,374,348,351
316,402,356,359
317,325,361,342
318,329,367,361
319,314,374,361
320,342,322,353
321,335,382,360
322,398,367,351
323,326,348,355
324,338,392,369
325,365,364,354
326,305,378,363
327,361,364,358
