Index,V1,V2,Noise
0,701,599,489
1,701,658,579
2,701,682,635
3,494,487,545
4,0,175,334
5,0,75,192
6,0,31,106
7,700,492,291
8,0,181,260
9,662,45,144
10,701,496,345
11,0,148,251
12,701,381,299
13,367,609,472
14,0,197,309
15,701,557,414
16,0,314,379
17,410,93,218
18,701,515,377
19,0,165,288
20,701,153,203
21,698,532,388
22,0,164,262
23,701,535,381
24,86,664,537
25,0,220,354
26,701,564,447
27,0,202,338
28,701,50,182
29,611,499,361
30,0,151,240
31,701,535,371
32,23,664,532
33,0,219,352
34,701,564,452
35,0,196,337
36,700,48,181
37,493,498,360
38,0,151,236
39,701,538,372
40,0,377,391
41,295,116,233
42,701,524,362
43,0,195,299
44,700,49,163
45,700,498,353
46,0,150,245
47,701,496,354
48,178,650,518
49,0,213,340
50,701,563,430
51,0,231,347
52,584,63,191
53,701,503,367
54,0,153,273
55,701,304,269
56,508,582,444
57,0,185,292
58,701,551,403
59,0,390,411
60,293,121,245
61,700,526,368
62,0,196,302
63,700,49,165
64,700,498,354
65,0,150,246
66,701,492,352
67,185,648,516
68,0,213,338
69,701,562,429
70,0,231,346
71,580,63,190
72,701,503,367
73,0,153,273
74,700,300,267
75,506,581,443
76,0,185,291
77,701,551,403
78,0,392,412
79,289,121,245
80,701,526,368
81,0,196,302
82,700,49,164
83,701,498,354
84,0,150,246
85,701,489,351
86,184,647,514
87,0,213,338
88,701,562,429
89,0,233,347
90,574,63,191
91,701,503,368
92,0,153,273
93,701,296,265
94,513,579,441
95,0,184,290
96,700,550,401
97,0,394,412
98,284,123,246
99,701,527,369
100,0,196,302
101,699,49,165
102,700,498,354
103,0,149,247
104,702,487,350
105,188,646,514
106,0,212,337
107,700,562,429
108,0,233,347
109,570,65,191
110,701,504,368
111,0,154,273
112,700,292,263
113,517,578,439
114,0,184,289
115,701,550,401
116,0,397,414
117,274,124,247
118,700,527,369
119,0,196,302
120,699,50,165
121,701,498,354
122,0,149,247
123,701,485,349
124,198,646,513
125,0,211,336
126,701,562,428
127,0,237,348
128,569,65,191
129,700,504,368
130,0,154,274
131,701,290,262
132,522,577,439
133,0,183,289
134,701,549,401
135,0,398,414
136,272,124,247
137,701,527,370
138,0,196,303
139,699,50,165
140,701,498,355
141,0,149,247
142,701,483,348
143,195,645,512
144,0,211,336
145,701,562,428
146,0,237,348
147,565,65,192
148,700,503,368
149,0,154,275
150,701,287,261
151,523,576,437
152,0,183,288
153,701,550,401
154,0,401,415
155,264,125,248
156,700,528,370
157,0,197,303
158,700,49,165
159,700,498,354
160,0,150,248
161,701,481,347
162,196,644,511
163,0,211,336
164,701,562,428
165,0,238,349
166,566,66,192
167,701,504,369
168,0,154,275
169,700,288,261
170,533,576,437
171,0,183,289
172,701,549,401
173,0,403,416
174,260,126,249
175,701,528,371
176,0,197,303
177,699,49,165
178,701,498,355
179,0,149,248
180,700,480,347
181,205,643,511
182,0,211,335
183,701,562,428
184,0,241,350
185,560,67,193
186,700,504,369
187,0,154,276
188,701,285,260
189,538,575,437
190,0,182,288
191,701,549,400
192,0,412,420
193,267,129,252
194,701,529,373
195,0,198,305
196,700,50,166
197,700,498,355
198,0,149,248
199,701,479,346
200,208,643,510
201,0,211,335
202,700,562,427
203,0,240,350
204,554,66,193
205,701,504,369
206,0,154,276
207,700,279,258
208,538,573,434
209,0,182,287
210,701,549,400
211,0,410,419
212,255,128,252
213,701,529,373
214,0,197,304
215,699,50,166
