Index,V1,V2,Noise
0,597,368,375
1,567,350,356
2,536,335,341
3,512,326,331
4,498,325,325
5,493,330,328
6,506,362,357
7,403,348,327
8,451,316,361
9,489,392,369
10,585,356,348
11,585,342,341
12,565,368,339
13,417,371,352
14,619,339,343
15,603,322,341
16,650,333,339
17,669,337,344
18,700,375,358
19,595,338,342
20,712,381,352
21,712,331,330
22,712,312,318
23,712,337,333
24,712,347,323
25,713,317,323
26,712,333,327
27,713,334,339
28,713,357,334
29,713,338,345
30,713,347,332
31,713,333,338
32,713,374,346
33,713,344,338
34,713,373,340
35,713,345,343
36,712,383,350
37,711,358,355
38,711,387,371
39,665,355,365
40,644,371,373
41,657,385,371
42,617,356,367
43,604,397,386
44,586,373,375
45,536,394,369
46,567,375,382
47,560,389,387
48,555,363,363
49,561,415,386
50,479,351,374
51,515,387,373
52,544,390,384
53,466,382,376
54,431,363,373
55,488,392,373
56,405,358,359
57,382,373,361
58,422,381,379
59,404,384,366
60,369,378,358
61,338,341,348
62,380,412,373
63,327,373,363
64,336,369,354
65,288,361,358
66,289,365,360
67,294,375,355
68,270,387,372
69,287,357,352
70,242,359,360
71,221,389,374
72,251,368,371
73,230,392,372
74,215,346,353
75,160,379,363
76,193,378,375
77,206,370,373
78,177,381,361
79,144,381,368
80,188,371,362
81,159,370,359
82,208,369,370
83,121,374,366
84,141,363,368
85,123,381,362
86,150,348,349
87,135,406,368
88,124,341,360
89,136,391,371
90,102,350,368
91,137,394,373
92,110,368,354
93,114,359,350
94,143,383,358
95,126,368,350
96,142,375,363
97,143,373,352
98,144,388,369
99,102,366,366
100,128,349,366
101,168,363,367
102,142,375,369
103,177,342,361
104,154,377,355
105,166,361,366
106,130,364,357
107,175,367,358
108,169,357,357
109,215,353,353
110,180,377,362
111,226,369,361
112,171,354,354
113,213,365,363
114,192,343,358
115,208,354,344
116,277,371,349
117,206,319,340
118,243,353,334
119,193,331,349
120,223,358,341
121,264,322,347
122,239,360,341
123,258,302,338
124,271,359,343
125,271,345,337
126,247,344,337
127,233,332,313
128,249,361,323
129,257,374,337
130,346,347,344
131,296,325,333
132,318,327,329
133,258,342,317
134,303,351,336
135,309,330,329
136,303,346,324
137,329,322,322
138,341,343,337
139,305,314,316
140,326,379,338
141,336,305,333
142,339,353,310
143,354,375,348
144,324,350,335
145,366,334,334
146,289,329,337
147,359,309,327
148,338,371,347
149,370,335,320
150,391,311,319
151,338,373,330
152,362,304,313
153,376,362,331
154,371,309,313
155,389,340,321
156,362,341,328
157,348,345,335
158,380,321,324
159,372,333,330
160,411,301,334
161,370,345,336
162,336,348,333
163,380,329,334
164,363,340,336
165,382,329,336
166,351,339,335
167,414,326,329
168,351,322,327
169,383,340,330
170,391,365,350
171,350,348,335
172,401,353,338
173,348,363,337
174,392,319,343
175,365,354,347
176,350,310,332
177,399,381,345
178,349,343,336
179,380,329,315
180,377,391,345
181,394,333,335
182,336,372,352
183,369,367,344
184,365,365,358
185,405,328,341
186,390,348,352
187,406,363,355
188,319,349,355
189,416,376,358
190,347,338,326
191,379,378,335
192,339,378,372
193,420,382,363
194,300,377,362
195,414,345,346
196,334,354,361
197,406,372,368
198,386,383,367
199,361,355,352
200,365,377,367
201,361,325,349
202,322,388,360
203,375,355,355
204,368,384,368
205,382,370,361
206,333,357,354
207,414,353,348
208,401,366,338
209,390,381,363
210,366,333,343
211,426,373,353
212,380,370,353
213,406,371,360
214,452,350,335
215,421,322,334
216,474,388,366
217,361,340,369
218,442,395,371
219,411,340,345
220,454,362,328
221,400,364,357
222,425,398,376
223,352,350,340
224,257,340,315
225,706,221,206
226,400,0,93
227,368,0,48
228,381,0,17
229,0,468,409
230,0,712,572
231,414,505,509
232,320,469,472
233,533,414,417
234,690,329,354
235,469,188,237
236,455,184,193
237,170,168,169
238,0,201,218
239,0,302,272
240,0,306,313
241,112,436,377
242,395,358,351
243,424,299,348
244,446,346,344
245,468,330,330
246,438,288,307
247,378,321,308
248,207,396,355
249,190,380,370
250,124,395,356
251,333,339,336
252,349,371,356
253,429,284,284
254,385,362,347
255,274,379,336
256,346,313,356
257,296,347,317
258,342,320,314
259,380,382,355
260,349,404,365
261,399,379,387
262,338,390,368
263,376,450,395
264,305,404,415
265,330,406,414
266,384,406,402
267,316,367,375
268,413,360,352
269,355,304,322
270,344,366,358
271,422,359,348
272,336,395,378
273,328,331,349
274,334,410,375
275,388,383,372
276,444,353,364
277,353,414,386
278,360,377,367
279,289,358,369
280,412,348,360
281,340,332,355
282,362,387,360
283,365,333,347
284,332,376,343
285,339,330,369
286,276,394,370
287,309,381,368
288,340,378,365
289,355,365,348
290,313,396,376
291,332,314,311
292,387,476,393
293,313,383,361
294,352,386,397
295,354,426,391
296,296,375,392
297,342,375,369
298,306,333,359
299,345,421,376
300,304,353,360
301,294,389,383
302,384,294,336
303,285,430,369
304,339,255,347
305,265,435,387
306,383,374,368
307,361,390,382
308,336,369,344
309,359,375,376
310,357,411,366
311,349,322,373
312,375,442,399
313,310,401,393
314,394,383,383
315,296,387,373
316,383,366,394
317,288,395,394
318,427,401,388
319,347,378,372
320,317,391,371
321,406,365,360
322,344,362,360
323,379,346,378
324,309,397,365
325,379,380,363
326,367,382,368
327,374,362,362
328,370,334,313
329,282,375,344
330,361,339,326
331,300,386,392
332,368,358,364
333,269,397,371
334,404,370,345
335,335,360,316
336,317,300,331
337,311,454,349
338,408,327,391
339,635,114,204
340,162,0,98
341,662,0,65
342,293,713,428
343,94,702,526
344,194,493,497
345,504,462,473
346,712,465,458
347,710,376,386
348,513,239,288
349,340,208,228
350,135,198,249
351,52,353,308
352,79,360,329
353,125,423,411
354,364,442,406
355,497,393,391
356,518,323,345
357,478,315,295
358,443,268,367
359,409,418,374
360,350,364,365
361,266,405,379
362,267,397,376
363,283,387,376
364,261,381,368
365,330,349,377
366,395,397,384
367,387,380,370
368,369,373,379
369,353,391,378
370,299,364,365
371,291,348,336
372,285,353,354
373,266,374,367
374,277,321,366
375,365,413,379
376,390,387,374
377,345,399,373
378,275,382,372
379,349,367,367
380,283,327,352
381,374,362,339
382,373,356,349
383,355,339,346
384,309,347,345
385,329,343,333
386,306,316,332
387,282,363,349
388,305,344,343
389,263,361,347
390,368,346,337
391,335,338,347
392,285,364,351
393,303,339,346
394,323,338,339
395,333,355,331
396,322,362,348
397,344,342,349
398,276,358,358
399,344,365,350
400,341,346,335
401,332,333,331
402,321,362,334
403,343,331,368
404,318,363,353
405,348,351,348
406,338,355,347
407,347,329,348
408,401,323,318
409,356,353,334
410,341,378,347
411,373,349,347
412,309,345,341
413,367,320,308
414,359,337,339
415,352,359,345
416,382,344,355
417,356,358,353
418,356,357,330
419,355,370,356
420,344,361,357
421,347,366,359
422,317,376,367
423,343,362,348
424,354,389,371
425,360,361,371
426,377,376,363
427,386,367,371
428,329,353,352
429,375,369,371
430,350,382,361
431,406,359,361
432,339,372,365
433,312,306,352
434,392,385,365
435,349,351,351
436,364,369,354
437,306,337,332
438,369,376,350
439,317,304,325
440,355,388,353
441,326,352,347
442,363,349,353
443,354,353,347
444,342,337,349
445,367,349,343
446,341,322,339
447,364,387,355
448,351,338,330
449,349,371,353
450,307,335,332
451,314,335,342
452,384,369,343
453,320,367,349
454,404,362,355
455,337,322,325
456,394,371,348
457,305,332,329
458,380,319,337
459,374,306,326
460,367,321,304
461,341,290,342
462,315,370,319
463,409,280,293
464,707,0,133
465,242,0,64
466,708,0,29
467,197,654,414
468,187,668,502
469,107,480,481
470,413,463,454
471,711,444,440
472,712,395,391
473,521,311,309
474,361,163,213
475,54,195,204
476,77,239,249
477,63,335,320
478,103,409,364
479,267,388,394
480,406,404,389
481,464,344,352
