Index,V1,V2,Noise
0,451,346,349
1,451,347,344
2,451,346,343
3,450,348,344
4,453,346,343
5,457,346,344
6,455,345,340
7,458,344,339
8,466,341,338
9,467,341,337
10,464,344,338
11,468,346,339
12,466,348,342
13,458,352,344
14,472,351,346
15,471,357,347
16,473,355,348
17,478,356,349
18,472,360,352
19,483,354,351
20,471,362,355
21,479,360,352
22,464,363,356
23,458,366,357
24,459,360,357
25,444,367,359
26,441,353,352
27,410,365,356
28,399,364,359
29,393,360,359
30,379,377,365
31,360,377,368
32,352,372,368
33,352,377,371
34,327,380,373
35,325,377,371
36,310,380,375
37,308,377,369
38,284,377,370
39,293,376,369
40,283,381,373
41,283,379,372
42,273,376,371
43,265,375,370
44,265,373,368
45,251,373,368
46,261,375,367
47,264,373,368
48,258,378,369
49,259,371,366
50,252,373,367
51,253,369,364
52,255,370,364
53,255,367,363
54,258,367,362
55,263,365,359
56,258,364,359
57,268,356,354
58,272,355,351
59,272,354,349
60,282,352,346
61,280,346,342
62,278,344,341
63,285,346,341
64,290,351,344
65,288,352,345
66,288,348,342
67,280,341,337
68,279,337,333
69,256,334,332
70,269,340,333
71,251,349,341
72,256,337,327
73,258,321,324
74,262,338,293
75,232,314,321
76,216,347,337
77,239,391,361
78,245,318,314
79,235,123,289
80,229,266,211
81,236,220,203
82,320,185,289
83,293,323,250
84,317,283,297
85,268,329,311
86,262,352,316
87,361,274,338
88,320,173,215
89,418,471,329
90,396,279,348
91,428,390,377
92,398,403,388
93,420,377,396
94,417,417,404
95,427,404,397
96,438,374,373
97,444,412,392
98,489,406,395
99,480,402,394
100,500,409,396
101,523,400,396
102,528,397,392
103,525,407,397
104,534,404,396
105,506,405,399
106,495,403,399
107,484,405,400
108,478,409,401
109,486,403,398
110,499,395,395
111,506,402,396
112,491,401,392
113,472,404,395
114,467,396,391
115,459,395,389
116,435,386,385
117,445,384,381
118,437,380,374
119,445,381,380
120,454,387,375
121,444,386,378
122,432,384,377
123,434,381,375
124,428,375,372
125,426,377,370
126,421,370,362
127,427,372,365
128,426,370,366
129,433,367,364
130,398,369,363
131,419,362,359
132,406,359,351
133,409,359,352
134,400,355,350
135,396,353,347
136,390,351,346
137,386,345,345
138,375,347,342
139,379,342,337
140,372,326,332
141,365,339,328
142,374,345,334
143,379,338,332
144,374,339,332
145,382,331,326
146,369,332,326
147,375,333,325
148,382,330,325
149,367,331,325
150,390,328,327
151,367,335,328
152,373,335,328
153,373,329,325
154,363,339,329
155,369,333,327
156,364,330,328
157,367,335,329
158,365,337,331
159,367,338,333
160,383,339,333
161,364,336,333
162,383,346,335
163,376,342,335
164,387,340,335
165,364,341,336
166,394,339,334
167,361,347,332
168,396,347,339
169,359,345,339
170,368,345,337
171,377,342,337
172,376,343,337
173,367,343,338
174,377,344,337
175,372,343,336
176,380,337,330
177,361,343,334
178,375,342,334
179,372,337,333
180,374,338,333
181,395,337,333
182,373,339,333
183,388,338,332
184,382,343,335
185,385,342,337
186,396,342,339
187,386,345,338
188,367,343,334
189,391,340,336
190,377,341,337
191,376,345,339
192,391,349,342
193,387,351,344
194,366,354,348
195,385,358,351
196,361,341,338
197,395,343,355
198,375,353,350
199,370,330,339
200,353,369,349
201,411,338,319
202,356,359,343
203,446,232,287
204,287,368,332
205,441,368,351
206,323,365,354
207,480,330,329
208,128,353,330
209,571,255,304
210,278,339,297
211,504,293,299
212,289,338,312
213,361,305,297
214,471,309,284
215,225,229,275
216,532,270,263
217,181,267,265
218,268,269,256
219,368,289,260
220,280,239,240
221,193,239,246
222,225,197,229
223,182,255,242
224,258,248,243
225,287,247,243
226,236,260,245
227,262,263,249
228,284,253,257
229,305,275,261
230,334,284,274
231,319,296,287
232,351,304,294
233,347,308,301
234,358,311,304
235,358,320,311
236,360,326,316
237,401,327,320
238,339,337,323
239,346,350,333
240,317,350,347
241,344,367,355
242,329,370,362
243,352,380,369
244,332,379,373
245,320,385,378
246,308,395,382
247,282,397,390
248,274,402,394
249,312,404,399
250,331,412,402
251,321,414,405
252,338,416,406
253,331,413,409
254,333,414,409
255,319,409,410
256,319,416,411
257,340,416,413
258,330,418,411
259,342,417,410
260,346,412,409
261,343,405,406
262,328,405,400
263,355,400,398
264,346,400,391
265,351,387,391
266,358,409,392
267,349,408,397
268,362,400,394
269,360,396,390
270,358,399,391
271,350,393,388
272,355,396,388
273,370,396,385
274,410,401,393
275,377,399,394
276,387,405,397
277,379,405,398
278,375,403,398
279,369,403,394
280,393,404,393
281,369,396,397
282,384,409,397
283,376,400,393
284,378,401,393
285,387,397,392
286,377,395,390
287,395,392,388
288,391,389,386
289,394,392,387
290,383,391,380
291,399,397,395
292,390,403,395
293,404,400,394
294,395,396,391
295,388,392,388
296,381,395,391
297,390,397,390
298,381,395,392
299,380,395,391
300,379,391,389
301,385,395,389
302,359,393,388
303,384,390,386
304,384,394,388
305,366,392,387
306,387,389,387
307,368,395,386
308,387,391,384
309,368,384,380
310,377,387,379
311,378,375,377
312,359,381,373
313,372,373,371
314,370,373,367
315,374,369,363
316,367,362,359
317,373,358,356
318,375,360,354
319,373,361,355
320,368,354,347
321,397,339,346
322,363,352,351
323,394,350,327
324,379,337,341
325,416,307,317
326,305,308,308
327,460,320,325
328,311,331,343
329,465,335,336
330,325,362,361
331,484,333,329
332,287,319,315
333,391,323,329
334,460,320,329
335,382,332,337
336,458,360,347
337,382,299,314
338,430,299,297
339,415,271,276
340,307,272,280
341,315,265,267
342,367,271,264
343,336,245,250
344,295,272,242
345,202,215,224
346,206,243,242
347,256,276,260
348,289,279,269
349,279,275,271
350,266,272,270
351,247,278,272
352,256,282,266
353,272,299,284
354,257,306,293
355,265,308,299
356,259,305,301
357,269,310,303
358,240,311,304
359,268,315,306
360,260,321,313
361,256,328,315
362,257,323,317
363,263,327,323
364,250,334,329
365,240,335,328
366,253,353,339
367,259,355,346
368,272,361,352
369,285,363,354
370,285,366,357
371,305,366,359
372,287,364,363
373,295,367,371
374,308,385,375
375,333,384,377
376,328,391,381
377,343,379,385
378,332,400,389
379,356,399,388
380,360,406,394
381,368,412,400
382,369,407,403
383,385,413,404
384,375,409,406
385,391,423,412
386,402,426,405
387,391,430,420
388,414,438,427
389,406,433,426
390,430,438,423
391,419,416,430
392,417,453,438
393,436,430,432
394,411,443,434
395,423,437,430
396,436,426,426
397,411,422,417
398,420,434,420
399,423,421,414
400,431,420,417
401,426,420,413
402,413,409,405
403,423,400,397
404,418,392,402
405,455,407,400
406,382,395,388
407,445,405,393
408,560,392,390
409,341,381,385
410,375,388,380
411,620,390,379
412,350,398,387
413,363,400,399
414,494,397,385
415,271,391,378
416,590,383,371
417,288,371,370
418,533,383,366
419,172,380,363
420,472,367,360
421,327,351,353
422,375,374,364
423,311,371,362
424,322,365,365
425,433,373,363
426,290,374,367
427,294,357,361
428,294,372,364
429,296,374,366
430,260,375,365
431,297,372,365
432,290,374,366
433,280,379,371
434,279,377,369
435,256,377,372
436,273,379,371
437,288,374,370
438,266,373,369
439,252,374,369
440,237,377,369
441,275,368,366
442,226,369,362
443,248,362,359
444,225,361,357
445,304,357,357
446,190,362,357
447,298,356,356
448,171,366,357
449,349,350,351
450,107,349,345
451,414,343,339
452,124,349,339
