Index,V1,V2,Noise,class 
831,360,359,353,0.0
832,358,359,354,
833,357,359,354,
834,357,359,354,
835,357,359,354,
836,357,359,355,
837,357,359,355,
838,364,351,327,
839,539,316,338,
840,689,262,314,
841,712,189,267,
842,713,219,305,
843,712,278,327,
844,612,287,307,
845,514,313,325,
846,501,339,385,
847,428,383,378,
848,456,391,374,
849,468,351,349,
850,524,361,361,
851,587,348,335,
852,608,298,327,
853,603,308,339,
854,510,324,341,
855,493,343,361,
856,492,347,360,
857,463,342,345,
858,455,343,326,
859,444,365,357,
860,424,360,324,
861,417,323,321,
862,400,336,333,
863,369,349,337,
864,377,354,345,
865,378,350,333,
866,357,305,324,
867,377,319,336,
868,363,352,329,
869,315,323,297,
870,320,346,343,
871,333,369,340,
872,333,349,345,
873,347,347,336,
874,331,345,339,
875,310,315,346,
876,347,336,354,
877,364,369,353,
878,346,352,346,
879,338,351,335,
880,327,332,327,
