Index,V1,V2,Noise,class
1162,344,337,340,0.0
1163,348,340,342,
1164,353,339,341,
1165,386,340,341,
1166,391,326,318,
1167,345,335,338,
1168,353,333,318,
1169,363,336,348,
1170,394,358,333,
1171,396,352,348,
1172,340,353,342,
1173,353,342,340,
1174,381,339,343,
1175,366,342,351,
1176,362,347,345,
1177,376,356,351,
1178,380,347,330,
1179,368,350,339,
1180,369,353,335,
1181,390,351,337,
1182,360,358,347,
1183,378,351,343,
1184,412,344,343,
1185,390,349,337,
1186,357,349,345,
1187,348,344,342,
1188,376,334,348,
1189,404,341,346,
1190,407,347,331,
1191,375,341,341,
1192,362,344,339,
1193,372,322,343,
1194,372,327,350,
1195,375,346,344,
1196,352,350,349,
1197,275,359,353,
1198,425,359,355,
1199,458,357,352,
1200,528,359,350,
1201,486,361,353,
1202,228,359,353,
1203,308,359,353,
1204,311,359,355,
1205,446,359,356,
1206,538,359,354,
1207,496,359,354,
1208,416,358,353,
1209,279,358,352,
1210,161,359,352,
1211,171,385,405,
1212,178,464,466,
1213,249,549,531,
1214,332,588,564,
1215,384,585,560,
1216,442,552,533,
1217,465,505,493,
1218,435,472,470,
1219,403,462,462,
1220,388,464,462,
1221,361,486,468,
1222,347,509,487,
1223,354,499,484,
1224,376,497,488,
1225,384,493,484,
1226,378,483,472,
1227,373,467,475,
1228,342,473,469,
1229,352,490,468,
1230,402,467,452,
1231,366,446,437,
1232,321,421,416,
1233,319,415,417,
1234,316,437,425,
1235,366,447,443,
1236,393,456,442,
1237,369,459,455,
1238,354,462,458,
1239,335,451,442,
1240,344,455,443,
1241,359,463,437,
1242,349,441,424,
1243,363,418,414,
1244,339,411,394,
1245,328,423,414,
1246,334,430,413,
1247,337,420,402,
1248,346,411,400,
1249,329,407,403,
1250,345,389,383,
1251,360,403,396,
1252,355,408,395,
1253,366,393,391,
1254,361,392,385,
1255,316,390,378,
1256,340,388,380,
1257,366,371,393,
1258,358,369,375,
1259,376,385,380,
1260,356,384,369,
1261,342,372,366,
1262,354,375,364,
1263,343,380,365,
1264,338,368,361,
1265,336,359,357,
1266,327,349,344,
1267,338,344,354,
1268,329,342,344,
1269,327,347,345,
1270,368,348,337,
1271,357,344,344,
1272,324,334,332,
1273,340,337,339,
1274,354,347,341,
