Index,V1,V2,Noise,cless
75,409,357,352,0.0
76,412,345,337,
77,382,335,337,
78,411,327,337,
79,423,327,323,
80,404,321,341,
81,408,344,337,
82,371,366,346,
83,299,356,353,
84,525,360,355,
85,540,358,351,
86,480,359,352,
87,473,362,352,
88,202,361,350,
89,213,360,352,
90,268,360,353,
91,459,359,357,
92,575,359,353,
93,483,359,353,
94,376,359,352,
95,263,359,352,
96,147,359,355,
97,161,401,417,
98,180,486,470,
99,285,505,461,
100,443,479,451,
101,497,432,407,
102,488,362,379,
103,514,354,357,
104,506,363,362,
105,467,377,387,
106,461,389,422,
107,469,426,425,
108,471,459,431,
109,473,425,394,
110,410,369,364,
111,382,364,385,
112,381,385,366,
113,354,386,374,
114,380,379,370,
115,417,350,347,
116,387,376,377,
117,374,396,373,
118,388,369,367,
119,390,375,394,
120,420,382,375,
